time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.8240,-0.085226,0.209901,0,NaN,NaN
0.8320,-0.087179,0.005087,0,NaN,NaN
0.8400,-0.092552,-0.012100,0,NaN,NaN
0.8480,-0.090598,0.005001,0,NaN,NaN
0.8560,-0.085714,0.048675,0,NaN,NaN
0.8640,-0.082784,0.107601,0,NaN,NaN
0.8720,-0.078877,0.169959,0,NaN,NaN
0.8800,-0.074481,0.224220,0,NaN,NaN
0.8880,-0.071062,0.258925,0,NaN,NaN
0.8960,-0.070085,0.264559,0,NaN,NaN
0.9040,-0.075458,0.236834,0,NaN,NaN
0.9120,-0.080830,0.178049,0,NaN,NaN
0.9200,-0.088645,0.095692,0,NaN,NaN
0.9280,-0.097924,0.000633,0,NaN,NaN
0.9360,-0.101832,0.016857,0,NaN,NaN
0.9440,-0.106227,-0.014577,0,NaN,NaN
0.9520,-0.106716,-0.018545,0,NaN,NaN
0.9600,-0.104762,0.002161,0,NaN,NaN
0.9680,-0.102320,0.040000,0,NaN,NaN
0.9760,-0.098901,0.084952,0,NaN,NaN
0.9840,-0.096459,0.126683,0,NaN,NaN
0.9920,-0.094994,0.156155,0,NaN,NaN
1.0000,-0.095971,0.166650,0,NaN,NaN
1.0080,-0.098413,0.154031,0,NaN,NaN
1.0160,-0.101343,0.116922,0,NaN,NaN
1.0240,-0.108181,0.058098,0,NaN,NaN
1.0320,-0.117460,-0.013834,0,NaN,NaN
1.0400,-0.125763,-0.470067,0,NaN,NaN
1.0480,-0.133578,-0.572393,0,NaN,NaN
1.0560,-0.140415,-0.659518,0,NaN,NaN
1.0640,-0.145788,-0.721300,0,NaN,NaN
1.0720,-0.149206,-0.749273,0,NaN,NaN
1.0800,-0.148230,-0.738567,0,NaN,NaN
1.0880,-0.146764,-0.690396,0,NaN,NaN
1.0960,-0.137485,-0.613818,0,NaN,NaN
1.1040,-0.131136,-0.524724,0,NaN,NaN
1.1120,-0.121368,-0.441180,0,NaN,NaN
1.1200,-0.115507,-0.376840,0,NaN,NaN
1.1280,-0.113553,-0.335254,0,NaN,NaN
1.1360,-0.112088,-0.308624,0,NaN,NaN
1.1440,-0.112576,-0.084875,1,NaN,NaN
1.1520,-0.116972,-0.165081,0,NaN,NaN
1.1600,-0.125763,-0.286551,0,NaN,NaN
1.1680,-0.141392,-0.429785,0,NaN,NaN
1.1760,-0.155556,-0.563803,0,NaN,NaN
1.1840,-0.163858,-0.656416,0,NaN,NaN
